season,event_type,start_datetime,start_datetime_est,event_id,opp_team_id,team_id,is_home,player_id,player_name,played,starter,position,primary_position,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,tech_fouls,flagrant_fouls,pls_min,points,double_double,triple_double,effective_fg_pct,efficiency,efficiency_game_score,points_in_paint,points_in_paint_att,points_in_paint_made,points_in_paint_pct,true_shooting_att,true_shooting_pct,fouls_drawn,offensive_fouls,points_off_turnovers,second_chance_pts,fast_break_pts,fast_break_att,fast_break_made,fast_break_pct,coach_ejections,minus,plus,defensive_rebounds_pct,offensive_rebounds_pct,rebounds_pct,steals_pct,turnovers_pct,coach_tech_fouls,second_chance_att,second_chance_made,second_chance_pct,defensive_rating,offensive_rating,fouled_out,ejected,not_playing_reason,not_playing_description,height_inches,weight_lbs,bmi,age,experience_year,draft_number
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,0,57200,"Karlie Samuelson",1,1,G,SG,34.9,3,6,50,2,4,50,1,2,50,0,3,3,100,0,3,3,3,2,0,0,1.5,1,0,0,4,11,0,0,66.7,13,8.6,2,2,1,50,7.32,75.1,2,0,2,3,0,0,0,0,0,67,71,12.279924983303,0,5.6366868775816,0,21.459227467811,0,0,0,0,120.10800313204,126.62454303067,NULL,NULL,NULL,NULL,72,160,21.697530864197528,28.1616,5,NULL
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,0,56927,"Layshia Clarendon",0,0,G,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.68446980751,0,NULL,NULL,"DNP – Coach's Decision",NULL,69,158,23.329972694812014,32.1863,10,9
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,0,56825,"Destanni Henderson",1,0,G,NA,24.45,1,6,16.7,0,2,0,1,4,25,0,4,8,50,0,0,0,3,0,1,0,0,2,0,0,-2,6,0,0,16.7,3,2.9,2,3,1,33.3,9.52,31.5,4,0,2,0,0,0,0,0,0,50,48,0,0,0,2.1257689969346,0,0,0,0,0,117.60514843941,87.142731748386,NULL,NULL,NULL,NULL,67,140,21.924704834038764,24.4247,1,20
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,0,80245,"Zia Cooke",1,0,G,NA,18.85,3,10,30,0,1,0,3,9,33.3,1,4,4,100,0,3,3,0,1,1,3,0,3,0,0,-1,10,0,0,30,9,6,6,8,3,37.5,11.76,42.5,4,0,3,0,2,3,1,33.3,0,40,39,22.73588480485,0,10.436143844849,2.7572971870054,7.8369905956113,0,1,0,0,103.09356030208,89.890492223924,NULL,NULL,NULL,NULL,69,163,24.068262969964294,22.4877,0,10
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,0,56808,"Nia Clouden",0,0,G,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,"NWT - Injury/Illness",Knee,69,139,20.524469649233357,23.1370,1,12
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,0,56798,"Jasmine Thomas",1,1,F,SF,18.533333333333,0,5,0,0,1,0,0,4,0,1,0,0,0,0,0,0,1,3,0,0,0.33,1,0,0,-9,0,0,0,0,-9,-6.2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,44,35,0,0,0,0,37.5,0,0,0,0,122.06024454738,7.3259723574282,NULL,NULL,NULL,NULL,69,143,21.115101869355176,33.7726,12,12
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1790,1794,1,56889,"Riquna Williams",0,0,G,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,"Inactive - Injury/Illness","Lower Back",67,165,25.83983069725997,33.1151,11,17
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1790,1794,1,57076,"Cayla George",1,0,C-F,NA,5.1833333333333,1,6,16.7,0,3,0,1,3,33.3,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,-5,2,0,0,16.7,-1,-0.7,0,2,0,0,6,16.7,0,0,0,0,0,1,0,0,0,13,8,0,74.681049683643,35.077462730196,0,14.285714285714,0,1,0,0,106.58780065698,63.682803102372,NULL,NULL,NULL,NULL,76,192,23.36842105263158,34.1890,8,NULL
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1790,1794,1,56763,"Candace Parker",1,1,C,C,26.483333333333,7,10,70,1,3,33.3,6,7,85.7,0,0,0,0,2,1,3,8,2,3,1,4,1,0,0,29,15,0,0,75,24,19.4,12,7,6,85.7,10,75,0,0,3,2,0,1,0,0,0,47,76,4.3153825406815,9.7444121886356,6.8653813147205,5.2468175865164,16.666666666667,0,2,1,50,91.801502232582,144.30183882349,NULL,NULL,NULL,NULL,76,184,22.394736842105264,37.2247,15,1
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1790,1794,1,56879,"Kierstan Bell",1,0,G,NA,10,2,4,50,1,2,50,1,2,50,0,1,2,50,0,0,0,0,0,1,1,0,2,0,0,-3,6,0,0,62.5,4,4.5,2,1,1,100,4.88,61.5,1,0,0,0,0,0,0,0,0,21,18,0,0,0,4.6317739694303,0,0,1,0,0,88.096245378674,128.60112985768,NULL,NULL,NULL,NULL,73,176,23.217864514918368,23.3068,1,11
