event_id,team_id,player_id,position,starter,game_score,minutes,free_throws_made,free_throws_att,field_goals_made,field_goals_att,three_points_made,three_points_att,points,offensive_rebounds,defensive_rebounds,rebounds,assists,blocks,steals,turnovers,personal_fouls
164487,1787,56747,G,0,4.88997,20.7861,1.75447,1.99146,2.8281,7.5125,1.04017,3.43844,8.45084,0.226257,1.25874,1.485,1.94997,0.105732,1.02637,1.8482,1.2293
164487,1787,56749,F,1,13.7426,33.6407,5.06082,6.07751,7.69732,17.0651,2.06251,5.74409,22.518,0.475703,3.21888,3.69458,2.23992,0.414515,0.516275,2.30584,2.17319
164487,1787,56752,F,0,3.00844,8.8015,0.601898,1.24997,1.39877,2.28334,0.0808094,0.259975,3.48024,0.775087,1.44373,2.21882,0.583624,0.226643,0.282835,0.540686,1.14688
164487,1787,56778,C,1,11.1014,31.1734,1.88527,3.20321,4.39542,8.31951,0.0684266,0,10.7445,3.16616,3.45464,6.6208,2.41476,1.59894,1.52996,1.26366,3.44756
164487,1797,56800,F,0,5.78888,19.0444,0.957808,1.2664,2.57266,5.67002,0.698861,2.10786,6.80199,0.91541,2.98616,3.90157,2.09204,0.515972,0.381469,1.03315,1.65071
164487,1787,56833,F,1,8.36734,25.8335,1.78322,2.46007,3.30492,7.11958,0.776824,2.8563,9.16989,2.14023,5.67132,7.81155,0.929271,1.55825,1.62835,2.27407,2.91293
164487,1797,56854,G,0,3.55003,16.1544,0.802002,0.842766,1.96312,5.74458,0.97388,3.31059,5.70211,0.379647,1.89551,2.27516,1.53523,0.275362,0.674779,0.888657,1.96939
164487,1787,56902,G,1,8.68881,29.6623,2.23729,2.41705,3.9266,11.0654,1.96115,4.45011,12.0516,0.910299,2.73433,3.64463,4.2599,0.318343,0.583083,1.35317,2.51988
164487,1787,56908,F,0,-0.454209,13.81,0.523725,0.988831,0.760534,3.48762,0.218352,1.68706,2.26314,0.162734,0.605095,0.767829,0.884676,0.398618,0.392714,1.37166,1.52247
164487,1797,56934,G,1,13.3885,28.5319,5.20331,6.17986,5.65574,14.973,3.06595,7.88958,19.5807,0.867016,3.28717,4.15418,3.27658,0.424967,1.13849,2.2413,1.66023
164487,1797,56935,C,0,5.30987,14.2195,0.748065,1.09581,2.61868,4.23833,0.163731,0.406268,6.14916,0.932557,2.1302,3.06276,0.992047,0.514116,0.288431,1.00355,1.0297
